OBJECTID_1,OBJECTID,Site_Name,Kebele,Woreda,Zone,Region,Ownership,Owner_Name,Area,Perimeter,Inter_Type,Species,Interv_YR,Plantin_YR,Slng_Pr_Ha,Survi_Perc,Aver_Hgt_m,Ave_DBH_cm,Rock_Perc,Wetnes_Cla,Stoni_Perc,Soi_Dth_cm,Soil_Textu,SWC_Works,Land_Hazad,Soil_Color,Weed,Illegl_Cut,Grazing,Fire,LC_Class,X_Centroid,Y_Centroid,F3D_area_h,Shape_Leng,Shape_Area
76,76,Abaramo,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.174244,0.163614,A/R,"Eucalyptus globulus, Acacia decurrens, Eucalyptus camaldulensis",2018,2018,1400,56,0,0,3 to 20,Slight to Moderate,0 to 2,20 to 100,"Sandy Clay Loam, Silt Loam, Clayloam",Nil to Moderate,Slight to Severe Erosion,Reddish Brown,No to Low and Medium,No,No,No,4,365067,834809,0.177766296,0.001481322,1.43E-07
75,75,Abaramo,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.648967,0.343963,A/R,Eucalyptus globulus,2018,2018,10600,424,0,0,20,Moderate,0,20,Clay Loam,Nil,Severe Erosion,Reddish Brown,No,No,No,No,5,365154,834950,0.659435643,0.003113487,5.32E-07
74,74,Abaramo,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.281863,0.243447,A/R,Eucalyptus globulus,2018,2018,4500,180,0,0,15,Moderate,15,20,Silty Loam,Nil,Moderate Flood,Brown,No,No,No,No,6,364893,834713,0.285712999,0.002204456,2.31E-07
6,6,Abbo,Anabelesa,Lemo,Hadiya,SNNP,Communal,,23.796779,3.240599,A/R,Eucalyptus camaldulensis,2018,2018,1500,60,0,0,0,Nil to Slight,0,150,Silt Loam,Nil to Moderate,Nil to Slight,"Reddish Brown, Brown",No to Low,No,No,No,2,382247,836503,24.7900203,0.029349712,1.95E-05
115,115,Abiyo,Shurmo and Dubancho,Lemo,Hadiya,SNNP,Private,,4.713462,0.886497,A/R,Eucalyptus globulus,2018,2018,5300,212,0,0,0,Moderate,0,150,Clayloam,Moderate,Moderate,Dark Brown,No,No,Medium,No,2,376923,843270,4.775622594,0.008023625,3.86E-06
91,91,Adama,Lisana Qusa,Lemo,Hadiya,SNNP,Private,,1.143497,0.450749,A/R,Cupressus lusitanica,2016,2017,1800,72,0,0,0,Slight,0,145,Silt Loam,Nil,Nil,Black,No,No,No,No,3,379690,824124,1.155538787,0.004079337,9.37E-07
73,73,Ashe,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.181029,0.176809,A/R,Eucalyptus globulus,2018,2018,5000,200,0,0,0,Moderate,0,20,Loamy Sand,Nil,Moderate Flood,Reddish Brown,No,No,No,No,6,367290,833919,0.182266026,0.001601125,1.48E-07
9,9,Ashe,Ashe Kubayega,Lemo,Hadiya,SNNP,Communal,,0.397155,0.30414,A/R,Eucalyptus globulus,2018,2018,2000,80,0,0,0,Moderate,0,100,Light Clay,Nil,Slight,Black,No,No,No,No,3,366758,833922,0.405913536,0.002753479,3.26E-07
43,43,Ashem,Alela,Lemo,Hadiya,SNNP,Private,,0.669077,0.335449,A/R,Eucalyptus globulus,2018,2018,2400,96,0,0,0,Slight,0,150,Silt Clay,Nil,Slight,Reddish Brown,No,No,No,No,2,368703,833266,0.690079213,0.003036441,5.48E-07
42,42,Ashem,Alela,Lemo,Hadiya,SNNP,Private,,0.095958,0.166314,A/R,Eucalyptus globulus,2018,2018,2400,96,0,0,0,Nil,0,100,Silt Clay Loam,Nil,Nil,Reddish Brown,No,No,No,No,2,368612,833403,0.098581539,0.001505115,7.86E-08
19,19,Boyo Tefa,Lay Kode,Lemo,Hadiya,SNNP,Communal,,56.92407,5.297161,A/R,Eucalyptus camaldulensis,"2017, 2018",2018,1600,64,0,0,0,Slight to Moderate,0,30 to 150,"Silt,Silt Loam",Nil,Nil,"Brown, Black",No,No,No,No,2,383578,829187,58.35180544,0.050836328,4.67E-05
44,44,Cheba,Ambicho Gode,Lemo,Hadiya,SNNP,Private,,0.141735,0.155139,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,377146,837333,0.142554247,0.001405063,1.16E-07
30,30,Chore,Meseno Bako,Lemo,Hadiya,SNNP,Communal,,10.102205,1.684074,A/R,Eucalyptus camaldulensis,2018,2018,1300,52,0,0,0,Slight,2,60,Sandy,Nil,Slight to Moderate,,Low to Dense,No,No,No,3,365009,827140,10.46035561,0.015251145,8.28E-06
5,5,Damincho,Anabelesa,Lemo,Hadiya,SNNP,Communal,,20.062554,2.787618,A/R,"Eucalyptus globulus, Eucalyptus camaldulensis",2018,2018,1100,44,0,0,0 to 60,Slight to Moderate,0 to 60,100 to 150,"Silt Loam, Heavy Clay",Nil,Nil,Reddish Brown,Low,No,Low,No,2,381964,836677,20.62954049,0.025248433,1.64E-05
24,24,Danecho,Lisana Qusa,Lemo,Hadiya,SNNP,Communal,,31.088108,3.679608,A/R,"Eucalyptus saligna, Acacia saligna",2017,2017,1800,72,0,0,0,Nil to Slight,0 to 60,150,Light Clay,Nil,Moderate,Black,No,No,No,No,3,380647,824794,32.39325587,0.033292799,2.55E-05
